state_name,county_fips,county_name,votes_gop,votes_dem,total_votes,diff,per_gop,per_dem,per_point_diff
Iowa,19127,Marshall County,9571,8176,18136,1395,0.527734892,0.450816056,0.076918835
Iowa,19129,Mills County,5585,2508,8268,3077,0.675495888,0.303338171,0.372157716
Iowa,19131,Mitchell County,3677,2053,5822,1624,0.631569907,0.352627963,0.278941944
Iowa,19133,Monona County,3248,1407,4728,1841,0.686971235,0.297588832,0.389382403
Iowa,19135,Monroe County,2975,1078,4088,1897,0.727739726,0.26369863,0.464041096
Iowa,19137,Montgomery County,3659,1583,5327,2076,0.686878168,0.297165384,0.389712784
Iowa,19139,Muscatine County,10823,9372,20671,1451,0.523583765,0.453388806,0.070194959
Iowa,19141,O'Brien County,5861,1569,7551,4292,0.776188584,0.207787048,0.568401536
Iowa,19143,Osceola County,2690,601,3328,2089,0.808293269,0.180588942,0.627704327
Iowa,19145,Page County,5319,2086,7528,3233,0.706562168,0.277098831,0.429463337
Iowa,19147,Palo Alto County,3370,1519,4958,1851,0.67970956,0.306373538,0.373336023
Iowa,19149,Plymouth County,10492,3494,14188,6998,0.739498167,0.246264449,0.493233719
Iowa,19151,Pocahontas County,2826,933,3823,1893,0.739210044,0.244049176,0.495160868
Iowa,19153,Polk County,106800,146250,258755,-39450,0.412745647,0.565206469,-0.152460822
Iowa,19155,Pottawattamie County,26247,18575,45744,7672,0.573780168,0.406064183,0.167715985
Iowa,19157,Poweshiek County,5657,4306,10140,1351,0.557889546,0.424654832,0.133234714
Iowa,19159,Ringgold County,1968,709,2714,1259,0.725128961,0.261238025,0.463890936
Iowa,19161,Sac County,4061,1389,5535,2672,0.73369467,0.250948509,0.482746161
Iowa,19163,Scott County,43683,46926,92599,-3243,0.471743755,0.506765732,-0.035021976
Iowa,19165,Shelby County,4697,1959,6795,2738,0.691243561,0.288300221,0.402943341
Iowa,19167,Sioux County,15680,3019,19051,12661,0.823053908,0.158469372,0.664584536
Iowa,19169,Story County,20340,29175,51038,-8835,0.398526588,0.571632901,-0.173106313
Iowa,19171,Tama County,5303,3577,9048,1726,0.586096375,0.395335986,0.190760389
Iowa,19173,Taylor County,2463,746,3249,1717,0.758079409,0.22960911,0.528470299
Iowa,19175,Union County,4010,2061,6185,1949,0.648342765,0.333225546,0.315117219
Iowa,19177,Van Buren County,2859,875,3791,1984,0.754154577,0.230809813,0.523344764
Iowa,19179,Wapello County,9516,5821,15633,3695,0.608712339,0.372353355,0.236358984
Iowa,19181,Warren County,17782,12574,31039,5208,0.572892168,0.405103257,0.167788911
