Client County Name,Estimated Coverage (12+ 1 Dose),Estimated Coverage (12+ Fully),Estimated Coverage (65+ 1 Dose),Estimated Coverage (65+ Fully),Percentage of Population Vaccinated,County Name ,PHR Critical Pop,Latitude (generated),Longitude (generated),FULLY_VACCINATED_CALC,Population 16Up,TOTAL_PEOPLE_CALC
LIBERTY,0.542037034,0.456609408,0.735590841,66.10%,0.542037034,Liberty,6/5S,30.1848,-94.8629,32722,66868,38844
LIMESTONE,0.462909345,0.394119409,0.657173448,58.14%,0.462909345,Limestone,7,31.5165,-96.5516,7895,18871,9273
LIPSCOMB,0.35693106,0.324314307,0.58184765,52.51%,0.35693106,Lipscomb,1,36.3128,-100.2732,875,2520,963
LIVE OAK,0.392617132,0.340558448,0.568890644,52.51%,0.392617132,Live Oak,11,28.4249,-98.1422,3598,10055,4148
LLANO,0.58093149,0.512523593,0.703288582,64.24%,0.58093149,Llano,7,30.704,-98.6891,10047,18908,11388
LOVING,0.307692308,0.238461538,0.52173913,39.13%,0.307692308,Loving,09-Oct,31.826,-103.5679,31,129,40
LUBBOCK,0.572507813,0.498345618,0.849554159,76.19%,0.572507813,Lubbock,1,33.6145,-101.8206,130281,244992,149669
LYNN,0.491032777,0.426716141,0.691991786,61.70%,0.491032777,Lynn,1,33.179,-101.8167,2070,4496,2382
MADISON,0.493803001,0.414057404,0.717756184,64.27%,0.493803001,Madison,7,30.9585,-95.9474,5078,11595,6056
MARION,0.468428951,0.413482627,0.593251761,54.54%,0.468428951,Marion,4/5N,32.7826,-94.3622,3582,8277,4058
MARTIN,0.434831209,0.342052314,0.693474962,58.73%,0.434831209,Martin,09-Oct,32.299,-101.9515,1530,4136,1945
MASON,0.561153017,0.506196121,0.7704,73.20%,0.561153017,Mason,09-Oct,30.7183,-99.2239,1879,3521,2083
MATAGORDA,0.58974444,0.497630018,0.776560789,68.46%,0.58974444,Matagorda,6/5S,28.8246,-95.9122,15013,28247,17792
MAVERICK,0.9999,0.803972682,0.9999,85.03%,0.9999,Maverick,8,28.6426,-100.2812,37318,42606,50712
MCCULLOCH,0.452439913,0.389512017,0.762276786,69.48%,0.452439913,McCulloch,09-Oct,31.217,-99.3467,2674,6435,3106
MCLENNAN,0.603235253,0.515664947,0.828827396,73.69%,0.603235253,McLennan,7,31.5514,-97.2004,110935,200781,129774
MCMULLEN,0.515625,0.471875,0.529100529,49.74%,0.515625,McMullen,11,28.3555,-98.5677,302,616,330
