Client County Name,Estimated Coverage (12+ 1 Dose),Estimated Coverage (12+ Fully),Estimated Coverage (65+ 1 Dose),Estimated Coverage (65+ Fully),Percentage of Population Vaccinated,County Name ,PHR Critical Pop,Latitude (generated),Longitude (generated),FULLY_VACCINATED_CALC,Population 16Up,TOTAL_PEOPLE_CALC
COLEMAN,0.434739941,0.380344876,0.708824917,64.09%,0.434739941,Coleman,02-Mar,31.7432,-99.4612,2713,6721,3101
COLLIN,0.788150588,0.70286094,0.934840232,85.16%,0.788150588,Collin,02-Mar,33.1929,-96.5676,608168,801716,681967
COLLINGSWORTH,0.391447368,0.328947368,0.735135135,65.41%,0.391447368,Collingsworth,1,34.9674,-100.2701,800,2263,952
COLORADO,0.626115033,0.550046517,0.865773196,79.86%,0.626115033,Colorado,6/5S,29.6055,-96.5236,10051,17107,11441
COMAL,0.712668257,0.628933507,0.933503926,84.72%,0.712668257,Comal,8,29.8168,-98.2891,83823,125307,94983
COMANCHE,0.526116838,0.46709622,0.727627628,67.33%,0.526116838,Comanche,02-Mar,31.9702,-98.5993,5437,10944,6124
CONCHO,0.58984047,0.480688497,0.7808418,73.00%,0.58984047,Concho,09-Oct,31.3218,-99.8577,1145,2288,1405
COOKE,0.468482199,0.391844482,0.734110712,65.79%,0.468482199,Cooke,02-Mar,33.6877,-97.2144,13626,32675,16291
CORYELL,0.464127848,0.398225712,0.780099502,71.16%,0.464127848,Coryell,7,31.394,-97.8008,25766,60428,30030
COTTLE,0.447925487,0.398814564,0.675516224,61.06%,0.447925487,Cottle,02-Mar,34.0712,-100.2829,471,1123,529
CRANE,0.527125717,0.365936359,0.759259259,54.38%,0.527125717,Crane,09-Oct,31.3689,-102.5403,1403,3554,2021
CROCKETT,0.542461005,0.456845754,0.828431373,73.69%,0.542461005,Crockett,09-Oct,30.6879,-101.3732,1318,2694,1565
CROSBY,0.537769408,0.483364721,0.765898618,72.72%,0.537769408,Crosby,1,33.6161,-101.3,2310,4421,2570
CULBERSON,0.657346491,0.582785088,0.685416667,64.79%,0.657346491,Culberson,09-Oct,31.3019,-104.4978,1063,1746,1199
DALLAM,0.619873817,0.453557659,0.718786464,61.26%,0.619873817,Dallam,1,36.2673,-102.6022,2588,5217,3537
DALLAS,0.71789509,0.612770628,0.877316281,77.83%,0.71789509,Dallas,02-Mar,32.7661,-96.7774,1336590,2028105,1565890
DAWSON,0.428926014,0.356945107,0.720758693,64.23%,0.428926014,Dawson,09-Oct,32.737,-101.9478,3739,9789,4493
DEAF SMITH,0.530089455,0.45960965,0.789517128,71.15%,0.530089455,Deaf Smith,1,34.9635,-102.6051,6782,13439,7822
DELTA,0.408176944,0.354557641,0.686046512,62.25%,0.408176944,Delta,4/5N,33.357,-95.7245,1587,4222,1827
DENTON,0.713281503,0.643427891,0.917111413,86.28%,0.713281503,Denton,02-Mar,33.2078,-97.1156,482744,697330,535153
DEWITT,0.536188637,0.475571938,0.771747212,71.90%,0.536188637,DeWitt,8,29.0996,-97.3051,8128,16110,9164
DICKENS,0.373134328,0.332475553,0.605714286,56.57%,0.373134328,Dickens,1,33.6166,-100.7789,646,1858,725
DIMMIT,0.9999,0.697202883,0.815323042,74.10%,0.9999,Dimmit,8,28.4132,-99.7548,5708,7539,8327
DONLEY,0.44659852,0.375396546,0.702736318,61.82%,0.44659852,Donley,1,34.9669,-100.8141,1065,2716,1267
DUVAL,0.80627246,0.669715779,0.872476613,77.70%,0.80627246,Duval,11,27.6613,-98.5174,6150,8600,7404
EASTLAND,0.424208074,0.356004786,0.685002467,60.56%,0.424208074,Eastland,02-Mar,32.2936,-98.8015,5653,14970,6736
ECTOR,0.544395117,0.461131467,0.821477771,75.17%,0.544395117,Ector,09-Oct,31.8599,-102.5429,60660,120896,71613
EDWARDS,0.44842233,0.393203883,0.59714795,54.55%,0.44842233,Edwards,8,29.9663,-100.3478,648,1555,739
EL PASO,0.883141106,0.761668749,0.982923699,89.58%,0.883141106,El Paso,09-Oct,31.6952,-106.1718,524348,640180,607972
ELLIS,0.630179583,0.541897215,0.875123518,79.84%,0.630179583,Ellis,02-Mar,32.3014,-96.7619,82952,141665,96466
ERATH,0.429154283,0.371115915,0.751118926,68.83%,0.429154283,Erath,02-Mar,32.214,-98.2274,13735,34875,15883
FALLS,0.531857633,0.44755433,0.679479231,60.57%,0.531857633,Falls,7,31.2537,-96.9393,6652,14049,7905
FANNIN,0.467116026,0.405241804,0.734669095,67.15%,0.467116026,Fannin,02-Mar,33.6132,-96.1193,12385,28874,14276
FAYETTE,0.619023972,0.523994402,0.842641114,75.21%,0.619023972,Fayette,7,29.8921,-96.9151,11607,20879,13712
FISHER,0.435459262,0.371071102,0.594172737,55.36%,0.435459262,Fisher,02-Mar,32.7425,-100.4024,1216,3088,1427
FLOYD,0.535461753,0.473537604,0.78317757,72.34%,0.535461753,Floyd,1,34.069,-101.303,2210,4371,2499
FOARD,0.556331007,0.432701894,0.73015873,60.63%,0.556331007,Foard,02-Mar,33.9777,-99.7617,434,962,558
FORT BEND,0.851207291,0.755738033,0.9999,91.87%,0.851207291,Fort Bend,6/5S,29.5257,-95.746,502692,616413,566195
FRANKLIN,0.436642717,0.367842369,0.682298268,60.25%,0.436642717,Franklin,4/5N,33.179,-95.2164,3379,8554,4011
FREESTONE,0.457231172,0.396481008,0.650900901,59.03%,0.457231172,Freestone,7,31.7139,-96.1581,6670,15808,7692
FRIO,0.630719719,0.542129901,0.766306523,71.31%,0.630719719,Frio,8,28.8624,-99.1075,9265,16121,10779
GAINES,0.287389667,0.245478674,0.534347142,48.09%,0.287389667,Gaines,09-Oct,32.7355,-102.6352,3977,14548,4656
GALVESTON,0.699810356,0.634518666,0.888559829,83.68%,0.699810356,Galveston,6/5S,29.3824,-95.0331,182683,269280,201481
GARZA,0.550026848,0.512260605,0.783031989,72.04%,0.550026848,Garza,1,33.1798,-101.298,2862,5325,3073
GILLESPIE,0.634463084,0.561185387,0.825154131,76.34%,0.634463084,Gillespie,8,30.3291,-98.9457,13180,22307,14901
GLASSCOCK,0.51965812,0.447008547,0.685714286,65.24%,0.51965812,Glasscock,09-Oct,31.8477,-101.5209,523,1099,608
GOLIAD,0.496917757,0.442038791,0.68941048,64.79%,0.496917757,Goliad,8,28.6571,-97.4682,2940,6281,3305
GONZALES,0.609696262,0.535280374,0.798712206,74.83%,0.609696262,Gonzales,8,29.4484,-97.5027,9164,15937,10438
GRAY,0.46649442,0.407454236,0.72642311,66.61%,0.46649442,Gray,1,35.3987,-100.8124,7412,16924,8486
GRAYSON,0.516310735,0.442048353,0.791332396,71.40%,0.516310735,Grayson,02-Mar,33.6831,-96.662,50775,107521,59305
GREGG,0.565396659,0.489001692,0.845252172,77.86%,0.565396659,Gregg,4/5N,32.509,-94.8444,50286,95544,58142
GRIMES,0.628082801,0.534648662,0.86599143,78.75%,0.628082801,Grimes,7,30.5451,-95.9916,13224,23245,15535
GUADALUPE,0.644127173,0.570167223,0.823155755,74.74%,0.644127173,Guadalupe,8,29.6123,-97.9639,79751,130517,90096
HALE,0.495628097,0.437263189,0.769113814,71.39%,0.495628097,Hale,1,34.068,-101.8263,12002,25476,13604
HALL,0.498432602,0.445532915,0.735583685,68.50%,0.498432602,Hall,1,34.534,-100.6806,1137,2406,1272
HAMILTON,0.582444967,0.511421847,0.79916123,72.46%,0.582444967,Hamilton,7,31.7167,-98.0987,3694,6832,4207
HANSFORD,0.517566016,0.464753157,0.850985222,78.94%,0.517566016,Hansford,1,36.2744,-101.3546,2024,3987,2254
