COVID-19 Vaccinations Equity
Date generated: Mon Oct 04 2021 17:46:26 GMT+0100 (British Summer Time)
County,State,SVI,County of Residence Reporting Completeness,Percent of total population fully vaccinated,Percent of 12+ pop fully vaccinated,Percent of 18+ pop fully vaccinated,Percent of 65+ pop fully vaccinated
Robertson County,TX ,High,null,null,null,null,null
Rockwall County,TX ,Low,null,null,null,null,null
Runnels County,TX ,Mod-High,null,null,null,null,null
Rusk County,TX ,High,null,null,null,null,null
Sabine County,TX ,Mod-High,null,null,null,null,null
San Augustine County,TX ,High,null,null,null,null,null
San Jacinto County,TX ,Mod-High,null,null,null,null,null
San Patricio County,TX ,High,null,null,null,null,null
San Saba County,TX ,Mod-High,null,null,null,null,null
Schleicher County,TX ,Mod-High,null,null,null,null,null
Scurry County,TX ,Mod-High,null,null,null,null,null
Shackelford County,TX ,Mod-High,null,null,null,null,null
Shelby County,TX ,High,null,null,null,null,null
Sherman County,TX ,Low-Mod,null,null,null,null,null
Smith County,TX ,Mod-High,null,null,null,null,null
Somervell County,TX ,Mod-High,null,null,null,null,null
Starr County,TX ,High,null,null,null,null,null
Stephens County,TX ,High,null,null,null,null,null
Sterling County,TX ,Low-Mod,null,null,null,null,null
Stonewall County,TX ,Low-Mod,null,null,null,null,null
Sutton County,TX ,Mod-High,null,null,null,null,null
Swisher County,TX ,High,null,null,null,null,null
Tarrant County,TX ,Mod-High,null,null,null,null,null
Taylor County,TX ,Mod-High,null,null,null,null,null
Terrell County,TX ,Low-Mod,null,null,null,null,null
Terry County,TX ,High,null,null,null,null,null
Throckmorton County,TX ,Low-Mod,null,null,null,null,null
Titus County,TX ,High,null,null,null,null,null
Tom Green County,TX ,Mod-High,null,null,null,null,null
Travis County,TX ,Low-Mod,null,null,null,null,null
Trinity County,TX ,High,null,null,null,null,null
Tyler County,TX ,High,null,null,null,null,null
Upshur County,TX ,Mod-High,null,null,null,null,null
Upton County,TX ,Mod-High,null,null,null,null,null
Uvalde County,TX ,High,null,null,null,null,null
Val Verde County,TX ,High,null,null,null,null,null
Van Zandt County,TX ,Mod-High,null,null,null,null,null
Victoria County,TX ,High,null,null,null,null,null
Walker County,TX ,Mod-High,null,null,null,null,null
Waller County,TX ,High,null,null,null,null,null
Ward County,TX ,Mod-High,null,null,null,null,null
Washington County,TX ,Mod-High,null,null,null,null,null
Webb County,TX ,High,null,null,null,null,null
Wharton County,TX ,High,null,null,null,null,null
Wheeler County,TX ,Mod-High,null,null,null,null,null
Wichita County,TX ,High,null,null,null,null,null
Wilbarger County,TX ,High,null,null,null,null,null
Willacy County,TX ,High,null,null,null,null,null
Williamson County,TX ,Low,null,null,null,null,null
Wilson County,TX ,Low-Mod,null,null,null,null,null
Winkler County,TX ,Mod-High,null,null,null,null,null
Wise County,TX ,Mod-High,null,null,null,null,null
Wood County,TX ,Mod-High,null,null,null,null,null
Yoakum County,TX ,Low-Mod,null,null,null,null,null
Young County,TX ,Mod-High,null,null,null,null,null
Zapata County,TX ,High,null,null,null,null,null
Zavala County,TX ,High,null,null,null,null,null
Beaver County,UT ,Low-Mod,97.3,37.7,47.8,52.9,83.7
Box Elder County,UT ,Low,97.3,39,48.9,51.7,73.7
Cache County,UT ,Low-Mod,97.3,45.2,56.5,58.6,80.5
Carbon County,UT ,Mod-High,97.3,39.8,47.6,50.6,75.8
Daggett County,UT ,Low,97.3,50.4,57.6,64,71.4
Davis County,UT ,Low,97.3,53.7,67.8,69.5,86.2
Duchesne County,UT ,Low-Mod,97.3,33.9,43.7,47.4,78.2
Emery County,UT ,Low-Mod,97.3,37,44.9,49.3,75.2
Garfield County,UT ,Low-Mod,97.3,47.3,54.8,59.3,69.3
Grand County,UT ,Mod-High,97.3,57.2,66.8,69.5,78.6
Iron County,UT ,Low-Mod,97.3,36.1,44.3,47.7,79.5
Juab County,UT ,Low,97.3,29.4,37.8,42,76.5
Kane County,UT ,Low,97.3,42.1,49.7,53.4,74.9
Millard County,UT ,Low-Mod,97.3,34.7,43.3,47.7,67
Morgan County,UT ,Low,97.3,41.5,52.8,56.9,81.5
Piute County,UT ,Low-Mod,97.3,31.8,36.1,41.3,60.1
Rich County,UT ,Low,97.3,39.1,48.4,52.9,72.1
Salt Lake County,UT ,Low-Mod,97.3,56.7,68.8,70.5,84.5
San Juan County,UT ,High,97.3,49.6,61,63.3,75.5
Sanpete County,UT ,Mod-High,97.3,32.2,38.1,39.7,67.2
Sevier County,UT ,Low-Mod,97.3,33.7,41.3,44.7,74.7
Summit County,UT ,Low,97.3,73.5,85.8,89.1,99.9
Tooele County,UT ,Low-Mod,97.3,46,58,60.4,86.6
Uintah County,UT ,Low-Mod,97.3,33,42,44.6,71.3
Utah County,UT ,Low-Mod,97.3,43.3,55.5,58.7,79.2
Wasatch County,UT ,Low,97.3,49.1,61.1,63.8,85.3
Washington County,UT ,Low-Mod,97.3,42.2,50.6,53.9,75.6
Wayne County,UT ,Low-Mod,97.3,45,53,57.5,74
Weber County,UT ,Low-Mod,97.3,47.6,58.4,60.2,82.6
Addison County,VT ,Low,73.7,61.7,69,69,84
Bennington County,VT ,Low-Mod,73.7,37.4,42.4,42.6,54.1
Caledonia County,VT ,Low-Mod,73.7,31.8,36.1,36.7,46.3
Chittenden County,VT ,Low,73.7,63.1,71,71.1,85.2
Essex County,VT ,Low,73.7,34,38.2,38.8,48.3
Franklin County,VT ,Low,73.7,31.8,37.2,37.7,47.1
Grand Isle County,VT ,Low,73.7,70.4,79.7,81.1,99.9
Lamoille County,VT ,Low,73.7,53.5,61.6,62.3,82.4
Orange County,VT ,Low,73.7,45.5,51.6,52,61.8
Orleans County,VT ,Low-Mod,73.7,50.6,57.8,59.3,74.9
Rutland County,VT ,Low-Mod,73.7,60.8,68.5,69.7,86.1
Washington County,VT ,Low,73.7,40.3,45.6,45.9,55.2
Windham County,VT ,Low-Mod,73.7,58.6,66.1,66.9,77.5
Windsor County,VT ,Low,73.7,44.3,49.9,51,59.9
Accomack County,VA ,High,83.8,61.6,71.4,74.2,88.8
Albemarle County,VA ,Low,83.8,58.6,67.1,67.2,77.5
Alexandria City,VA ,Low,83.8,55.6,64,63.7,73.8
Alleghany County,VA ,Low-Mod,83.8,37.2,41.9,44.1,59.4
Amelia County,VA ,Low-Mod,83.8,33.6,38.8,41.2,65.4
Amherst County,VA ,Low-Mod,83.8,41.9,48,49.5,69.7
Appomattox County,VA ,Low-Mod,83.8,31.9,37.1,39.3,60.8
Arlington County,VA ,Low,83.8,66.8,76.5,76.8,74.9
Augusta County,VA ,Low,83.8,45.1,50.8,52.8,71.3
Bath County,VA ,Low,83.8,40.8,45.3,46.9,62
Bedford County,VA ,Low,83.8,40.5,46.2,48.6,70.7
Bland County,VA ,Low-Mod,83.8,34.6,38.1,39.9,60.1
Botetourt County,VA ,Low,83.8,45.6,51.3,53.4,69.8
Bristol City,VA ,High,83.8,59.2,67.9,70.8,99.9
Brunswick County,VA ,High,83.8,44.2,49.3,50.8,68.1
Buchanan County,VA ,High,83.8,41.5,46.6,48.4,63.5
Buckingham County,VA ,High,83.8,37.2,41.9,43.1,60.6
Buena Vista City,VA ,Low-Mod,83.8,36.7,42.7,44.5,64.1
Campbell County,VA ,Low-Mod,83.8,37.5,42.9,45,66.2
Caroline County,VA ,Low-Mod,83.8,37.4,44.2,46.2,67.9
Carroll County,VA ,Low-Mod,83.8,30.7,34.4,36,51.2
Charles City County,VA ,Low,83.8,46.5,51.3,53,72.6
Charlotte County,VA ,Mod-High,83.8,36.5,42.2,44.6,63.3
Charlottesville City,VA ,Low-Mod,83.8,47.4,53.5,53.4,69.4
Chesapeake City,VA ,Low-Mod,83.8,40.7,48.2,49.9,70.7
Chesterfield County,VA ,Low,83.8,50.4,59.2,60.6,79.8
Clarke County,VA ,Low,83.8,55.8,63.1,65.1,78.4
Colonial Heights City,VA ,Mod-High,83.8,35.9,42.7,44.8,61.9
Covington City,VA ,Low-Mod,83.8,33.6,38.9,40.8,58.8
Craig County,VA ,Low,83.8,31.6,35.3,37.2,52.1
Culpeper County,VA ,Low-Mod,83.8,42.8,50.9,53.2,71.3
Cumberland County,VA ,Mod-High,83.8,34.1,38.8,40.3,54.1
Danville City,VA ,High,83.8,33.3,38.9,41.2,59.2
Dickenson County,VA ,Mod-High,83.8,40.1,45.9,47.6,67.1
Dinwiddie County,VA ,Low-Mod,83.8,43.1,49.3,51.8,67.9
Emporia City,VA ,High,83.8,32.3,38.1,40.7,53.1
Essex County,VA ,Mod-High,83.8,44.1,49.9,51.9,69.8
Fairfax City,VA ,Low,83.8,55.8,67.8,68.9,75.3
Fairfax County,VA ,Low,83.8,67.8,79.7,80,80.8
Falls Church City,VA ,Low,83.8,54,64,65,71.8
Fauquier County,VA ,Low,83.8,52.8,61.8,63.5,75.2
Floyd County,VA ,Low,83.8,36.1,41.2,43.1,59.8
Fluvanna County,VA ,Low,83.8,55.6,63.5,64.8,82.1
Franklin City,VA ,Mod-High,83.8,36.6,44.4,47.5,75
Franklin County,VA ,Low-Mod,83.8,39.3,44.5,46.4,66
Frederick County,VA ,Low,83.8,43.4,50.8,52.9,69.4
Fredericksburg City,VA ,Mod-High,83.8,37.7,44.3,45.5,71.8
Galax City,VA ,High,83.8,36.8,43.6,46.4,69.7
Giles County,VA ,Low-Mod,83.8,40.6,46.6,49.2,64.9
Gloucester County,VA ,Low,83.8,51.5,59.2,61.1,84.7
Goochland County,VA ,Low,83.8,60.7,67.6,69.1,83.9
Grayson County,VA ,Mod-High,83.8,37,41.4,43.2,56.8
Greene County,VA ,Low,83.8,44.5,52.3,54.3,68.3
Greensville County,VA ,High,83.8,33.3,37.3,38.8,61.8
Halifax County,VA ,Mod-High,83.8,39.5,45.3,47.2,60.8
Hampton City,VA ,Mod-High,83.8,52.2,60.7,62.6,80.9
Hanover County,VA ,Low,83.8,54.4,62.6,64.1,78.8
Harrisonburg City,VA ,High,83.8,37.3,42.1,42.4,68.3
Henrico County,VA ,Low-Mod,83.8,51.2,59.8,61,75.6
Henry County,VA ,High,83.8,36.3,41.3,43.2,58.1
Highland County,VA ,Low,83.8,54,59.6,61,73.9
Hopewell City,VA ,High,83.8,29.4,35.7,37.9,59.5
Isle of Wight County,VA ,Low-Mod,83.8,44.7,51.5,53.2,73.4
James City County,VA ,Low,83.8,50.5,57.6,60.6,79.1
King and Queen County,VA ,Low-Mod,83.8,45.1,50.9,52.6,71.4
King George County,VA ,Low,83.8,42.7,50.7,53.5,67.5
King William County,VA ,Low,83.8,46.1,54,56.3,84.1
Lancaster County,VA ,Low,83.8,56.5,62.5,65.2,78.7
Lee County,VA ,High,83.8,43.5,49.2,51.5,65.9
Lexington City,VA ,Low-Mod,83.8,38.7,42.8,42.5,78.2
Loudoun County,VA ,Low,83.8,62.1,75.5,75.6,82.1
Louisa County,VA ,Low-Mod,83.8,40.1,46.2,47.9,66
Lunenburg County,VA ,High,83.8,43.6,49.7,51.5,72.4
Lynchburg City,VA ,Mod-High,83.8,30.2,34.9,35.8,64.7
Madison County,VA ,Low,83.8,48.7,55.7,57.5,73.7
Manassas City,VA ,Low-Mod,83.8,46.4,56.8,58.9,68.6
Manassas Park City,VA ,Mod-High,83.8,41.5,48.2,49,54
Martinsville City,VA ,High,83.8,39,47.1,50.2,77.3
Mathews County,VA ,Low,83.8,54.1,60,62.1,79.2
Mecklenburg County,VA ,High,83.8,39.9,45.3,47.6,62.8
Middlesex County,VA ,Low,83.8,56.4,63,64.5,79.2
Montgomery County,VA ,Low-Mod,83.8,42.2,46.9,47,69.4
Nelson County,VA ,Low-Mod,83.8,52.2,58.8,61.2,76.7
New Kent County,VA ,Low,83.8,47,53.9,55.7,84.6
Newport News City,VA ,High,83.8,46.2,55.1,56.7,79.6
Norfolk City,VA ,High,83.8,45.5,52.8,53.6,77.6
Northampton County,VA ,Mod-High,83.8,63.5,73,75,88.2
Northumberland County,VA ,Low,83.8,51.4,56.6,58.7,72.3
Norton City,VA ,High,83.8,30.8,36.1,37.7,54.4
Nottoway County,VA ,High,83.8,40.1,45.8,48,73
Orange County,VA ,Low-Mod,83.8,40.5,47.1,48.9,69.4
Page County,VA ,Low-Mod,83.8,34.9,39.9,42,61.3
Patrick County,VA ,Mod-High,83.8,35.4,39.7,41.6,55.7
Petersburg City,VA ,High,83.8,33.1,39.7,41.6,61
Pittsylvania County,VA ,Mod-High,83.8,37.7,42.4,44.5,61.1
Poquoson City,VA ,Low,83.8,43.4,50.1,52.7,69.5
Portsmouth City,VA ,High,83.8,78.9,94.1,99.1,99.9
Powhatan County,VA ,Low,83.8,38.5,43.5,44.6,67.9
Prince Edward County,VA ,Mod-High,83.8,30.4,33.9,34.9,64.6
Prince George County,VA ,Low-Mod,83.8,51,59.7,63,65.7
Prince William County,VA ,Low-Mod,83.8,61.3,74.3,75.2,84.1
Pulaski County,VA ,Low-Mod,83.8,39.9,45,46.3,61.4
Radford City,VA ,Low-Mod,83.8,34.3,37.4,37.9,68.6
Rappahannock County,VA ,Low,83.8,48.4,53.9,55.5,66.7
Richmond City,VA ,High,83.8,40.3,46,46.9,60.6
Richmond County,VA ,Mod-High,83.8,38.4,43.1,45,61.7
Roanoke City,VA ,High,83.8,39.1,46.1,47.8,63.4
Roanoke County,VA ,Low,83.8,47.2,53.7,55.3,72.5
Rockbridge County,VA ,Low,83.8,43.8,49,50.8,63.7
Rockingham County,VA ,Low-Mod,83.8,40.3,46.8,48.7,68.8
Russell County,VA ,Low-Mod,83.8,41.5,47.2,49.1,66.5
Salem City,VA ,Low-Mod,83.8,46.5,53,54.6,72.2
Scott County,VA ,Mod-High,83.8,49.5,55.8,58.3,79.9
Shenandoah County,VA ,Low-Mod,83.8,43.7,50.6,52.8,72.4
Smyth County,VA ,High,83.8,42.5,48.2,50.1,67.1
Southampton County,VA ,Low-Mod,83.8,34.8,39.3,41.3,56.9
Spotsylvania County,VA ,Low,83.8,41.6,49.2,51.3,69
Stafford County,VA ,Low,83.8,47.7,57,58.5,81.7
Staunton City,VA ,Low-Mod,83.8,46.1,53.1,54.4,73
Suffolk City,VA ,Low-Mod,83.8,43.9,52,53.7,76.8
Surry County,VA ,Low-Mod,83.8,48.5,54.2,55.5,72.8
Sussex County,VA ,High,83.8,33.1,36.9,38.3,60.6
Tazewell County,VA ,Mod-High,83.8,36.9,42.1,43.8,58.6
Virginia Beach City,VA ,Low,83.8,50.5,59.1,60.3,77.6
Warren County,VA ,Low-Mod,83.8,35.1,40.8,42.6,64.2
Washington County,VA ,Low-Mod,83.8,50.8,57.3,59.4,81.1
Waynesboro City,VA ,Mod-High,83.8,42.1,50.2,52.4,74.6
Westmoreland County,VA ,Low-Mod,83.8,43,49.2,51.4,68.7
Williamsburg City,VA ,Low-Mod,83.8,38.6,41.8,42.6,73.8
Winchester City,VA ,Mod-High,83.8,41,48.2,49.9,67.6
Wise County,VA ,High,83.8,39.9,45.4,47.3,67.8
Wythe County,VA ,Low-Mod,83.8,34.4,39.4,41.1,54.7
York County,VA ,Low,83.8,50.8,59.5,61.4,83.8
Adams County,WA ,High,96,47.5,62.9,69.5,85.3
Asotin County,WA ,Low-Mod,96,35.9,41.2,43.2,69
Benton County,WA ,Mod-High,96,47,57.1,59.7,80.6
Chelan County,WA ,Mod-High,96,61,72.2,74.3,88.1
Clallam County,WA ,Mod-High,96,60.4,68,69.6,83.4
Clark County,WA ,Low-Mod,96,55.5,65.5,67.3,88.4
Columbia County,WA ,Low-Mod,96,41,46.3,47.7,59.8
Cowlitz County,WA ,High,96,50.5,59.4,62,84.8
Douglas County,WA ,High,96,52.8,63.6,66.7,75.1
Ferry County,WA ,High,96,47.8,53.6,54.7,68.8
Franklin County,WA ,High,96,41.2,52.6,56.1,78.7
Garfield County,WA ,Low,96,33.1,38.7,39.1,47.5
Grant County,WA ,High,96,47,58.4,62,79.1
Grays Harbor County,WA ,High,96,50.4,58.2,60.2,78.9
Island County,WA ,Low,96,57,65.3,66.2,84.4
Jefferson County,WA ,Low,96,70.2,75.9,76.9,90.2
King County,WA ,Low-Mod,96,69.2,80.1,80.5,88.5
Kitsap County,WA ,Low-Mod,96,55.8,64.6,65.2,87.4
Kittitas County,WA ,Low-Mod,96,47.1,53.1,54.1,82.7
Klickitat County,WA ,Mod-High,96,43,49,50.7,70.3
Lewis County,WA ,High,96,43.3,50.4,52.4,70.9
Lincoln County,WA ,Low,96,45.8,53.1,56.1,73.1
Mason County,WA ,Mod-High,96,51.5,59.1,60.9,80.6
Okanogan County,WA ,High,96,59.8,70.9,74.6,84.4
Pacific County,WA ,Mod-High,96,48.9,54.2,55.6,72.7
Pend Oreille County,WA ,Mod-High,96,34.3,39,40.9,57.8
Pierce County,WA ,Low-Mod,96,53.7,63.8,65.2,83.9
San Juan County,WA ,Low,96,73.3,79.5,79.7,82.2
Skagit County,WA ,Mod-High,96,57.8,67.4,69.3,87.8
Skamania County,WA ,Low,96,33.9,38.5,39.3,51.5
Snohomish County,WA ,Low-Mod,96,59.6,70.2,71.3,86.5
Spokane County,WA ,Low-Mod,96,51.6,60.4,62.3,85.3
Stevens County,WA ,Low-Mod,96,33.5,38.8,40.9,58.3
Thurston County,WA ,Low-Mod,96,56.6,65.9,66.8,84.7
Wahkiakum County,WA ,Low,96,44.5,49.6,52.1,65
Walla Walla County,WA ,Mod-High,96,54.9,63.5,65,82.1
Whatcom County,WA ,Low-Mod,96,63,72.3,73.5,87.2
Whitman County,WA ,Mod-High,96,40.1,44.6,44.8,79.7
Yakima County,WA ,High,96,51.1,63.6,66.7,81.5
Barbour County,WV ,Mod-High,59.8,6.6,7.6,7,8.5
Berkeley County,WV ,Low-Mod,59.8,30.2,35.6,37.4,60.5
Boone County,WV ,Mod-High,59.8,30.3,34.7,36.3,54
Braxton County,WV ,Mod-High,59.8,12.2,14,14.2,22.4
Brooke County,WV ,Low-Mod,59.8,21.4,24,24.8,33.7
Cabell County,WV ,Mod-High,59.8,21.7,24.9,25.4,33.1
Calhoun County,WV ,Mod-High,59.8,12.4,14,14.5,20.8
Clay County,WV ,Mod-High,59.8,23.4,27.3,26.4,39.7
Doddridge County,WV ,Low-Mod,59.8,4.2,4.6,4.6,6.3
Fayette County,WV ,High,59.8,26.3,30.4,31.3,43.3
Gilmer County,WV ,High,59.8,39.9,44.1,45.3,54
Grant County,WV ,Low-Mod,59.8,13.4,15.4,16.3,23.2
Greenbrier County,WV ,Mod-High,59.8,34,39,40.3,56.2
Hampshire County,WV ,Mod-High,59.8,22.4,25.2,26.6,37.1
Hancock County,WV ,Low-Mod,59.8,22.7,25.7,27,36.2
Hardy County,WV ,Low-Mod,59.8,23.9,27.6,29.1,39.8
Harrison County,WV ,Low-Mod,59.8,20.8,24.1,25,38.3
Jackson County,WV ,Low-Mod,59.8,17.6,20.3,20.9,30.9
Jefferson County,WV ,Low,59.8,31.3,36.4,37.4,53.5
Kanawha County,WV ,Mod-High,59.8,31.1,35.7,36.7,49.4
Lewis County,WV ,Mod-High,59.8,29.5,34.2,35.7,51.2
Lincoln County,WV ,Mod-High,59.8,16.4,19.1,19.3,28.9
Logan County,WV ,Mod-High,59.8,30,34.6,35.6,49.1
Marion County,WV ,Low-Mod,59.8,8.9,10.3,10.1,15.3
Marshall County,WV ,Low,59.8,10.6,12.1,12.5,16.3
Mason County,WV ,Mod-High,59.8,32.4,37.4,39.3,60.5
McDowell County,WV ,High,59.8,22.5,26.1,27.4,30
Mercer County,WV ,High,59.8,38.4,44.6,46.5,65.2
Mineral County,WV ,Mod-High,59.8,33.3,38.3,39.9,60.9
Mingo County,WV ,High,59.8,23.5,27.6,29.3,44.8
Monongalia County,WV ,Low-Mod,59.8,15.6,17.6,17.7,25.3
Monroe County,WV ,Low-Mod,59.8,29.3,33.5,34.9,45.8
Morgan County,WV ,Low,59.8,5.5,6.2,6.5,7.3
Nicholas County,WV ,Mod-High,59.8,29.8,34.4,35.9,53.6
Ohio County,WV ,Low-Mod,59.8,12.4,14.2,14,15.2
Pendleton County,WV ,Low-Mod,59.8,37.1,42,43.8,62.7
Pleasants County,WV ,Low-Mod,59.8,13.3,15,15.2,21.1
Pocahontas County,WV ,Low-Mod,59.8,23.7,26.8,28,42.5
Preston County,WV ,Mod-High,59.8,32,36.6,38.5,52.7
Putnam County,WV ,Low,59.8,16.8,19.5,20,28.7
Raleigh County,WV ,High,59.8,21.3,24.7,25.8,36.3
Randolph County,WV ,Mod-High,59.8,28.2,32.1,33.3,50.6
Ritchie County,WV ,Low-Mod,59.8,19.1,21.8,23.2,38.7
Roane County,WV ,Mod-High,59.8,5.2,5.9,5.8,7
Summers County,WV ,High,59.8,17.5,19.4,18.7,23.9
Taylor County,WV ,Low-Mod,59.8,4.3,5,5,6.2
Tucker County,WV ,Low-Mod,59.8,30.2,33.3,33.6,44.1
Tyler County,WV ,Low,59.8,18.4,21,21.9,32.4
Upshur County,WV ,Mod-High,59.8,8.3,9.5,9.3,14
Wayne County,WV ,Mod-High,59.8,30,34.4,36.4,53.3
Webster County,WV ,Mod-High,59.8,30.7,35.1,36.5,55.7
Wetzel County,WV ,Low-Mod,59.8,10.4,11.9,12.3,17.9
Wirt County,WV ,Low-Mod,59.8,5.8,6.7,6.2,6
Wood County,WV ,Low-Mod,59.8,39.2,45.3,47.3,70.3
Wyoming County,WV ,Mod-High,59.8,35.6,40.8,41.9,63.3
Adams County,WI ,Mod-High,97,50,54.8,56.9,72.8
Ashland County,WI ,Mod-High,97,60.8,70.9,73.4,96.8
Barron County,WI ,Low-Mod,97,47.2,54.8,57.8,81.5
Bayfield County,WI ,Low,97,73.4,82.6,85.2,99.9
Brown County,WI ,Low-Mod,97,56,66.3,68.4,93.2
Buffalo County,WI ,Low,97,44.7,51.5,53.2,77.7
Burnett County,WI ,Low,97,50.5,56.7,59.3,81.7
Calumet County,WI ,Low,97,49.3,57.6,60.2,86.7
Chippewa County,WI ,Low,97,50.2,58.4,61.2,90.2
Clark County,WI ,Mod-High,97,32.6,40.5,44.4,74.7
Columbia County,WI ,Low,97,59,68.2,70.3,95.3
Crawford County,WI ,Low-Mod,97,51.2,58.3,61.1,85
Dane County,WI ,Low,97,72.8,84.1,85,99.9
Dodge County,WI ,Low,97,45.4,51.7,53.7,83.3
Door County,WI ,Low,97,70,77.8,80.5,97.5
Douglas County,WI ,Low-Mod,97,37.6,43.1,44.6,64.4
Dunn County,WI ,Low,97,43.1,49.3,50.4,81
Eau Claire County,WI ,Low,97,54.8,63.2,64.7,89.2
Florence County,WI ,Low,97,40.8,44.9,46.3,74.6
Fond du Lac County,WI ,Low,97,48.4,56.1,58.8,83.4
Forest County,WI ,Mod-High,97,52,59.8,62.3,88.8
Grant County,WI ,Low,97,49.1,56.7,58.8,98.6
Green County,WI ,Low,97,56.9,65.9,68.2,89.1
Green Lake County,WI ,Low-Mod,97,48.4,56.3,59.6,85.6
Iowa County,WI ,Low,97,61.9,72.1,74.7,94.3
Iron County,WI ,Low-Mod,97,51.7,56.8,58.3,80.5
Jackson County,WI ,Mod-High,97,43.9,51.2,52.9,77.7
Jefferson County,WI ,Low,97,50.3,57.8,59.7,82.5
Juneau County,WI ,Low-Mod,97,46.2,53,55.2,83.2
Kenosha County,WI ,Mod-High,97,51.6,60.2,62.4,87
Kewaunee County,WI ,Low,97,45.8,53,55.7,78.6
La Crosse County,WI ,Low,97,60.3,69.1,70,94.7
Lafayette County,WI ,Low,97,53.4,63.2,66.4,92.4
Langlade County,WI ,Low-Mod,97,47.8,54.5,57.3,82.4
Lincoln County,WI ,Low,97,49.1,55.4,57.9,90.3
Manitowoc County,WI ,Low,97,53.2,61.1,63.7,88.8
Marathon County,WI ,Low,97,52.5,61.6,63.8,86.2
Marinette County,WI ,Low-Mod,97,44.7,50.8,53.3,80.3
Marquette County,WI ,Low-Mod,97,47.5,54.2,56.5,81.3
Menominee County,WI ,High,97,66.6,86.3,87.4,97.2
Milwaukee County,WI ,High,97,54.3,64.8,66.8,85
Monroe County,WI ,Low-Mod,97,45.9,55,58,86.9
Oconto County,WI ,Low,97,46.9,53.8,56.4,85.2
Oneida County,WI ,Low,97,58.9,66.3,68.5,94.4
Outagamie County,WI ,Low,97,55.8,65.9,67.9,92.2
Ozaukee County,WI ,Low,97,63.4,73.3,74.7,92.7
Pepin County,WI ,Low,97,44.4,51.5,52.8,76.8
Pierce County,WI ,Low,97,39,44.8,46.5,82.3
Polk County,WI ,Low,97,45,51.6,54.4,85.1
Portage County,WI ,Low,97,54.5,62.1,63.3,88.9
Price County,WI ,Low,97,55,61.7,64.2,88.3
Racine County,WI ,Low-Mod,97,52.2,61.4,64,88.1
Richland County,WI ,Low-Mod,97,52.3,60.4,62.8,83.2
Rock County,WI ,Low-Mod,97,60.3,70.7,73.8,99.9
Rusk County,WI ,Low-Mod,97,36.1,41.5,43.7,63.7
Sauk County,WI ,Low,97,55.9,65.6,68.2,91.8
Sawyer County,WI ,Low-Mod,97,52.2,59.7,61.5,85.3
Shawano County,WI ,Low,97,46.4,53.7,56.1,76.7
Sheboygan County,WI ,Low,97,53.9,62.6,64.9,88.4
St. Croix County,WI ,Low,97,42.9,50.8,52.7,80.9
Taylor County,WI ,Low,97,31.1,36.5,39.1,65
Trempealeau County,WI ,Low-Mod,97,57.2,68.6,71.8,99.9
Vernon County,WI ,Low-Mod,97,49.1,59.1,62.3,87.4
Vilas County,WI ,Low,97,57.6,64.6,67.2,89.3
Walworth County,WI ,Low-Mod,97,47.2,53.9,56.1,83
Washburn County,WI ,Low,97,56.9,64.5,67.6,95.9
Washington County,WI ,Low,97,50.8,58.7,61.4,87.2
Waukesha County,WI ,Low,97,61.5,70.9,72.9,91
Waupaca County,WI ,Low,97,47.3,54.2,56.6,86
Waushara County,WI ,Low-Mod,97,39.2,44.3,46.2,68.4
Winnebago County,WI ,Low,97,53.4,61.7,63,87.6
Wood County,WI ,Low,97,53.7,62.5,65,89.1
Albany County,WY ,Low,96.4,46.6,52.3,52.6,82.8
Big Horn County,WY ,Low-Mod,96.4,30.9,36.5,39.5,65.2
Campbell County,WY ,Low-Mod,96.4,23.6,28.8,31.2,65.7
Carbon County,WY ,Mod-High,96.4,38,44.7,47.6,67
Converse County,WY ,Low,96.4,27.6,32.9,35.4,62.8
Crook County,WY ,Low,96.4,24.3,29.3,31.7,58.7
Fremont County,WY ,Mod-High,96.4,50.6,60.9,62.6,82.3
Goshen County,WY ,Low-Mod,96.4,33.4,38.3,40.1,65.9
Hot Springs County,WY ,Low,96.4,41.8,48,51,72.3
Johnson County,WY ,Low,96.4,36.7,42.4,45,69.1
Laramie County,WY ,Low-Mod,96.4,45.6,53.8,56,80.9
Lincoln County,WY ,Low,96.4,33.4,40.3,43.6,68.4
Natrona County,WY ,Low-Mod,96.4,36.8,43.8,46,73.9
Niobrara County,WY ,Low-Mod,96.4,25,28.5,30.1,57.3
Park County,WY ,Low,96.4,39.5,45.5,48,71.2
Platte County,WY ,Low,96.4,35,40.4,42.5,67.2
Sheridan County,WY ,Low,96.4,43.3,50.1,52.9,82.5
Sublette County,WY ,Low,96.4,27.4,31.9,34,51.2
Sweetwater County,WY ,Low-Mod,96.4,36.5,43.9,46.9,81.1
Teton County,WY ,Low,96.4,79.1,89.9,90.8,85.8
Uinta County,WY ,Low-Mod,96.4,39.3,48.1,51.7,77.7
Washakie County,WY ,Low-Mod,96.4,34.9,40.3,43.7,72.9
Weston County,WY ,Low-Mod,96.4,30.6,35.3,37.7,65.8
